name,player_id,season,team.x,games,mpg,fg.,X3pt.,ft.,orb,drb,trb,ast,stl,blk,tov,pt,prod_pts
Al Horford,2199,2019,PHI,67,30.22,0.45,0.35,0.762,1.54,5.27,6.81,4.03,0.78,0.91,1.19,11.91,28.3
Al Horford,2199,2018,BOS,68,29,0.535,0.36,0.821,1.76,4.97,6.74,4.16,0.87,1.26,1.5,13.6,30.69
Al Horford,2199,2017,BOS,72,31.63,0.489,0.429,0.783,1.43,5.93,7.36,4.71,0.6,1.1,1.83,12.88,30.33
Al Horford,2199,2016,BOS,68,32.25,0.473,0.355,0.8,1.4,5.4,6.79,4.96,0.76,1.28,1.71,14,31.97
Al Horford,2199,2015,ATL,82,32.12,0.504,0.342,0.798,1.8,5.48,7.28,3.21,0.82,1.49,1.3,15.23,32.08
Al Horford,2199,2014,ATL,76,30.5,0.538,0.306,0.759,1.72,5.43,7.16,3.21,0.89,1.29,1.32,15.21,31.67
Al Horford,2199,2013,ATL,28,32.96,0.571,0.4,0.688,2.25,6.14,8.39,2.64,0.96,1.57,2.25,18.46,35.32
Al Horford,2199,2012,ATL,74,37.24,0.543,0.5,0.644,2.64,7.59,10.23,3.24,1.05,1.05,1.99,17.42,36.79
Al Horford,2199,2011,ATL,13,29.92,0.546,0,0.719,2.23,4.23,6.46,2.08,0.85,1.31,1.54,11.77,25.41
Al Horford,2199,2010,ATL,51,34.71,0.57,0,0.81,2.57,7.18,9.75,3.65,0.8,1.1,1.43,15.8,35.34
Al Horford,2199,2009,ATL,15,34.33,0.566,1,0.766,2.47,7.33,9.8,2,0.73,1.8,1.6,13.27,31.49
Al Horford,2199,2008,ATL,67,33.46,0.525,0,0.727,2.16,7.15,9.31,2.43,0.79,1.42,1.54,11.54,29.24
Kyrie Irving,8051,2020,BKN,22,35.45,0.525,0.409,0.901,1.05,3.64,4.68,5.73,1.05,0.68,2.41,27.68,42.94
Kyrie Irving,8051,2019,BKN,20,32.85,0.478,0.394,0.922,1.1,4.05,5.15,6.4,1.35,0.5,2.6,27.4,44.28
Kyrie Irving,8051,2018,BOS,67,33.04,0.487,0.401,0.873,1.06,3.94,5,6.93,1.54,0.51,2.57,23.82,41.73
Kyrie Irving,8051,2017,BOS,60,32.18,0.491,0.408,0.889,0.55,3.23,3.78,5.1,1.08,0.28,2.33,24.43,37.02
Kyrie Irving,8051,2016,CLE,72,35.06,0.473,0.401,0.905,0.72,2.43,3.15,5.82,1.15,0.32,2.47,25.22,38.21
Kyrie Irving,8051,2015,CLE,53,31.45,0.448,0.323,0.885,0.81,2.13,2.94,4.7,1.06,0.34,2.34,19.64,30.67
Kyrie Irving,8051,2014,CLE,75,36.39,0.468,0.415,0.863,0.73,2.43,3.16,5.19,1.52,0.27,2.48,21.71,34.37
Kyrie Irving,8051,2013,CLE,69,35.22,0.429,0.353,0.856,0.72,2.94,3.67,6.1,1.52,0.29,2.71,20.86,35.32
Kyrie Irving,8051,2012,CLE,59,34.69,0.452,0.391,0.855,0.58,3.08,3.66,5.93,1.51,0.36,3.24,22.46,36.24
Kyrie Irving,8051,2011,CLE,52,30.23,0.461,0.378,0.875,0.85,2.92,3.77,5.31,1.12,0.37,3.15,18.35,30.64
Marcus Smart,15358,2020,BOS,17,32.29,0.394,0.311,0.742,0.41,2.35,2.76,6.06,1.82,0.53,1.76,13.06,28.41
Marcus Smart,15358,2019,BOS,60,31.98,0.375,0.347,0.836,0.7,3.05,3.75,4.85,1.68,0.48,1.72,12.93,27.33
Marcus Smart,15358,2018,BOS,80,27.49,0.422,0.364,0.806,0.71,2.21,2.93,4.01,1.79,0.35,1.54,8.85,21.12
Marcus Smart,15358,2017,BOS,54,29.87,0.367,0.301,0.729,0.8,2.7,3.5,4.8,1.31,0.43,2.39,10.19,22.67
Marcus Smart,15358,2016,BOS,79,30.38,0.36,0.284,0.812,0.99,2.9,3.89,4.61,1.58,0.42,2.01,10.57,24.13
Marcus Smart,15358,2015,BOS,61,27.31,0.348,0.253,0.777,1.25,2.93,4.18,3.05,1.49,0.3,1.31,9.15,21
Marcus Smart,15358,2014,BOS,67,26.99,0.367,0.335,0.646,0.91,2.4,3.31,3.1,1.48,0.27,1.34,7.81,18.59
Jayson Tatum,23598,2020,BOS,25,35.52,0.448,0.39,0.868,0.6,6.52,7.12,4.64,1.28,0.48,2.52,26.04,42.54
Jayson Tatum,23598,2019,BOS,66,34.32,0.45,0.403,0.812,0.97,6,6.97,3.03,1.41,0.86,2.35,23.44,38.55
Jayson Tatum,23598,2018,BOS,79,31.06,0.45,0.373,0.855,0.89,5.15,6.04,2.13,1.06,0.72,1.54,15.73,28.19
Jayson Tatum,23598,2017,BOS,80,30.46,0.475,0.434,0.826,0.61,4.4,5.01,1.6,1.04,0.73,1.44,13.9,24.4
Marcus Morris Sr.,8065,2020,LAC,23,25,0.454,0.5,0.897,0.74,3.13,3.87,0.87,0.52,0.26,0.91,13.04,19.64
Marcus Morris Sr.,8065,2019,LAC,62,31.23,0.438,0.408,0.823,0.95,4.06,5.02,1.39,0.76,0.48,1.56,16.66,25.68
Marcus Morris Sr.,8065,2018,BOS,75,27.87,0.447,0.375,0.844,1.01,5.09,6.11,1.45,0.57,0.33,1.23,13.95,24.04
Marcus Morris Sr.,8065,2017,BOS,54,26.8,0.429,0.368,0.805,0.8,4.56,5.35,1.33,0.65,0.22,1.2,13.59,22.55
Marcus Morris Sr.,8065,2016,DET,79,32.47,0.418,0.331,0.784,0.99,3.68,4.67,2.03,0.66,0.32,1.1,13.99,23.48
Marcus Morris Sr.,8065,2015,DET,80,35.7,0.433,0.364,0.749,1.14,3.91,5.05,2.51,0.84,0.29,1.75,14.14,24.47
Marcus Morris Sr.,8065,2014,PHO,81,25.25,0.434,0.358,0.628,0.9,3.85,4.75,1.64,0.78,0.2,0.9,10.43,19.65
Marcus Morris Sr.,8065,2013,PHO,82,21.94,0.442,0.381,0.761,1.02,2.87,3.89,1.07,0.88,0.22,1.16,9.71,17.02
Marcus Morris Sr.,8065,2012,PHO,74,19.62,0.421,0.371,0.559,1.01,2.49,3.5,0.78,0.59,0.24,1,7.65,13.7
Marcus Morris Sr.,8065,2011,HOU,19,8.95,0.324,0.13,0.8,0.32,0.89,1.21,0.42,0.16,0.11,0.32,3.21,5.51
Aron Baynes,11850,2020,TOR,28,533,0.41,0.203,0.733,1.5,3.93,5.43,0.96,0.29,0.32,0.89,5.54,13.82
Aron Baynes,11850,2019,PHO,42,934,0.48,0.351,0.747,1.69,3.95,5.64,1.6,0.24,0.55,1.19,11.45,21
Aron Baynes,11850,2018,BOS,51,820,0.471,0.344,0.855,1.73,2.98,4.71,1.12,0.24,0.67,0.78,5.57,13.91
Aron Baynes,11850,2017,BOS,81,1484,0.471,0.143,0.756,1.59,3.75,5.35,1.15,0.27,0.63,0.99,5.95,14.9
Aron Baynes,11850,2016,DET,75,1162,0.513,0,0.84,1.48,2.96,4.44,0.43,0.23,0.52,0.67,4.87,11.66
Aron Baynes,11850,2015,DET,81,1232,0.505,0,0.764,1.73,3.01,4.74,0.63,0.26,0.64,0.83,6.35,13.95
Aron Baynes,11850,2014,SA,70,1122,0.566,0.25,0.865,1.56,2.99,4.54,0.5,0.23,0.31,0.93,6.59,12.94
Aron Baynes,11850,2013,SA,53,490,0.436,0,0.905,1.08,1.66,2.74,0.64,0.04,0.09,0.68,3.04,6.87
Aron Baynes,11850,2012,SA,16,141,0.5,0,0.583,0.75,1.25,2,0.31,0.06,0.38,0.69,2.69,5.74
Jaylen Brown,20208,2020,BOS,28,33.68,0.497,0.409,0.766,1.14,4.36,5.5,3.86,1.14,0.54,2.86,25.54,38.42
Jaylen Brown,20208,2019,BOS,57,33.91,0.481,0.382,0.724,1.09,5.3,6.39,2.07,1.14,0.35,2.19,20.33,31.89
Jaylen Brown,20208,2018,BOS,74,25.85,0.465,0.344,0.658,0.88,3.35,4.23,1.35,0.93,0.43,1.34,13.03,21.52
Jaylen Brown,20208,2017,BOS,70,30.73,0.465,0.395,0.644,0.97,4,4.97,1.63,1,0.37,1.77,14.53,23.91
Jaylen Brown,20208,2016,BOS,78,17.23,0.453,0.341,0.685,0.58,2.26,2.83,0.82,0.46,0.23,0.87,6.6,11.75
Terry Rozier,17844,2020,CHA,27,33.52,0.496,0.46,0.805,0.56,3.48,4.04,3.07,1.26,0.44,1.74,21.15,32.27
Terry Rozier,17844,2019,CHA,63,34.35,0.423,0.407,0.874,0.79,3.59,4.38,4.11,0.97,0.16,2.24,18,29.44
Terry Rozier,17844,2018,BOS,79,22.67,0.387,0.353,0.785,0.41,3.48,3.89,2.92,0.86,0.27,0.86,8.96,19.4
Terry Rozier,17844,2017,BOS,80,25.85,0.395,0.381,0.772,0.79,3.91,4.7,2.9,1,0.24,1,11.25,22.72
Terry Rozier,17844,2016,BOS,74,17.07,0.367,0.318,0.773,0.54,2.53,3.07,1.76,0.61,0.12,0.64,5.54,12.68
Terry Rozier,17844,2015,BOS,39,7.97,0.274,0.222,0.8,0.62,1,1.62,0.95,0.15,0.03,0.49,1.85,5.08
Guerschon Yabusele,20221,2018,BOS,41,6.1,0.455,0.321,0.682,0.56,0.73,1.29,0.37,0.2,0.17,0.37,2.29,4.76
Guerschon Yabusele,20221,2017,BOS,33,7.12,0.426,0.324,0.682,0.52,1.06,1.58,0.48,0.12,0.15,0.36,2.39,5.19
Robert Williams,26993,2020,BOS,23,355,0.725,0,0.667,2.39,3.3,5.7,0.83,1.04,1.39,1,6.43,18.38
