team,year,name,id
orlando-magic,2018,Khem Birch,15786
orlando-magic,2018,Wesley Iwundu,23628
orlando-magic,2018,Melvin Frazier,27001
orlando-magic,2018,Michael Carter-Williams,13324
philadelphia-76ers,2018,Joel Embiid,15355
philadelphia-76ers,2018,Jimmy Butler,8081
philadelphia-76ers,2018,Tobias Harris,8070
philadelphia-76ers,2018,J.J. Redick,2643
philadelphia-76ers,2018,Boban Marjanovic,17984
philadelphia-76ers,2018,Ben Simmons,20206
philadelphia-76ers,2018,Jonathon Simmons,17983
philadelphia-76ers,2018,Mike Scott,10868
philadelphia-76ers,2018,Zhaire Smith,26982
philadelphia-76ers,2018,Furkan Korkmaz,20231
philadelphia-76ers,2018,Jonah Bolden,23631
philadelphia-76ers,2018,James Ennis III,13363
philadelphia-76ers,2018,T.J. McConnell,18252
philadelphia-76ers,2018,Amir Johnson,2304
philadelphia-76ers,2018,Greg Monroe,6889
phoenix-suns,2018,Tyler Johnson,15645
phoenix-suns,2018,T.J. Warren,15366
phoenix-suns,2018,Deandre Ayton,26967
phoenix-suns,2018,Josh Jackson,23599
phoenix-suns,2018,Dragan Bender,20209
phoenix-suns,2018,Mikal Bridges,26976
phoenix-suns,2018,Devin Booker,17841
phoenix-suns,2018,Troy Daniels,13383
phoenix-suns,2018,Kelly Oubre Jr.,17843
phoenix-suns,2018,Richaun Holmes,17865
phoenix-suns,2018,Jamal Crawford,2618
phoenix-suns,2018,Ã‰lie Okobo,27012
phoenix-suns,2018,De'Anthony Melton,27012
phoenix-suns,2018,Ray Spalding,27022
phoenix-suns,2018,Jimmer Fredette,8061
portland-trail-blazers,2018,Damian Lillard,10814
portland-trail-blazers,2018,C.J. McCollum,13323
portland-trail-blazers,2018,Evan Turner,6883
portland-trail-blazers,2018,Jusuf Nurkic,15368
portland-trail-blazers,2018,Meyers Leonard,10819
portland-trail-blazers,2018,Maurice Harkless,10823
portland-trail-blazers,2018,Al-Farouq Aminu,6890
portland-trail-blazers,2018,Zach Collins,23605
portland-trail-blazers,2018,Rodney Hood,15375
portland-trail-blazers,2018,Seth Curry,13512
portland-trail-blazers,2018,Anfernee Simons,26990
portland-trail-blazers,2018,Skal Labissiere,20233
portland-trail-blazers,2018,Jake Layman,20253
portland-trail-blazers,2018,Gary Trent Jr.,27003
portland-trail-blazers,2018,Enes Kanter,8053
sacramento-kings,2018,Harrison Barnes,10815
sacramento-kings,2018,Alec Burks,8063
sacramento-kings,2018,Bogdan Bogdanovic,15379
sacramento-kings,2018,Kosta Koufos,6254
sacramento-kings,2018,Marvin Bagley III,26968
sacramento-kings,2018,Nemanja Bjelica,6917
sacramento-kings,2018,De'Aaron Fox,23600
sacramento-kings,2018,Willie Cauley-Stein,17834
sacramento-kings,2018,Buddy Hield,20211
sacramento-kings,2018,Yogi Ferrell,20283
sacramento-kings,2018,Harry Giles,23615
sacramento-kings,2018,Corey Brewer,2573
sacramento-kings,2018,Caleb Swanigan,23621
sacramento-kings,2018,Frank Mason III,23629
sacramento-kings,2018,B.J. Johnson,28026
san-antonio-spurs,2018,DeMar DeRozan,6327
san-antonio-spurs,2018,LaMarcus Aldridge,2672
san-antonio-spurs,2018,Patrick Mills,6322
